step,molecule_id,molecule_type,measurement_type,measurement_id,value,equilibrium,deviation
25,3,ammonia,angle,1,107.391032,107.000000,0.391032
25,3,ammonia,angle,2,105.581713,107.000000,1.418287
25,4,acetylene,bond,0,1.057184,1.060000,0.002816
25,4,acetylene,bond,1,1.193876,1.200000,0.006124
25,4,acetylene,bond,2,1.069608,1.060000,0.009608
25,4,acetylene,angle,0,177.817138,180.000000,2.182862
25,4,acetylene,angle,1,177.661691,180.000000,2.338309
25,5,hcl,bond,0,1.269331,1.270000,0.000669
30,0,methane,bond,0,1.091714,1.090000,0.001714
30,0,methane,bond,1,1.103793,1.090000,0.013793
30,0,methane,bond,2,1.096198,1.090000,0.006198
30,0,methane,bond,3,1.095661,1.090000,0.005661
30,0,methane,angle,0,110.010866,109.500000,0.510866
30,0,methane,angle,1,109.466098,109.500000,0.033902
30,0,methane,angle,2,109.494353,109.500000,0.005647
30,0,methane,angle,3,108.580313,109.500000,0.919687
30,0,methane,angle,4,108.284481,109.500000,1.215519
30,0,methane,angle,5,110.986182,109.500000,1.486182
30,1,water,bond,0,0.973885,0.960000,0.013885
30,1,water,bond,1,0.979049,0.960000,0.019049
30,1,water,angle,0,104.866780,104.500000,0.366780
30,2,co2,bond,0,1.165483,1.160000,0.005483
30,2,co2,bond,1,1.151459,1.160000,0.008541
30,2,co2,angle,0,178.820669,180.000000,1.179331
30,3,ammonia,bond,0,1.018037,1.010000,0.008037
30,3,ammonia,bond,1,1.003395,1.010000,0.006605
30,3,ammonia,bond,2,0.986210,1.010000,0.023790
30,3,ammonia,angle,0,105.791705,107.000000,1.208295
30,3,ammonia,angle,1,107.335484,107.000000,0.335484
30,3,ammonia,angle,2,105.523323,107.000000,1.476677
30,4,acetylene,bond,0,1.056425,1.060000,0.003575
30,4,acetylene,bond,1,1.193986,1.200000,0.006014
30,4,acetylene,bond,2,1.070384,1.060000,0.010384
30,4,acetylene,angle,0,177.706191,180.000000,2.293809
30,4,acetylene,angle,1,177.510054,180.000000,2.489946
30,5,hcl,bond,0,1.268438,1.270000,0.001562
35,0,methane,bond,0,1.093127,1.090000,0.003127
35,0,methane,bond,1,1.105257,1.090000,0.015257
35,0,methane,bond,2,1.098908,1.090000,0.008908
35,0,methane,bond,3,1.094568,1.090000,0.004568
35,0,methane,angle,0,109.857298,109.500000,0.357298
35,0,methane,angle,1,109.362402,109.500000,0.137598
35,0,methane,angle,2,109.551747,109.500000,0.051747
35,0,methane,angle,3,108.398880,109.500000,1.101120
35,0,methane,angle,4,108.337173,109.500000,1.162827
35,0,methane,angle,5,111.310278,109.500000,1.810278
35,1,water,bond,0,0.976635,0.960000,0.016635
35,1,water,bond,1,0.981256,0.960000,0.021256
35,1,water,angle,0,104.867978,104.500000,0.367978
35,2,co2,bond,0,1.165552,1.160000,0.005552
35,2,co2,bond,1,1.151831,1.160000,0.008169
35,2,co2,angle,0,178.793934,180.000000,1.206066
35,3,ammonia,bond,0,1.021098,1.010000,0.011098
35,3,ammonia,bond,1,1.002336,1.010000,0.007664
35,3,ammonia,bond,2,0.982276,1.010000,0.027724
35,3,ammonia,angle,0,105.765025,107.000000,1.234975
35,3,ammonia,angle,1,107.277160,107.000000,0.277160
35,3,ammonia,angle,2,105.464216,107.000000,1.535784
35,4,acetylene,bond,0,1.055646,1.060000,0.004354
35,4,acetylene,bond,1,1.194100,1.200000,0.005900
35,4,acetylene,bond,2,1.071135,1.060000,0.011135
35,4,acetylene,angle,0,177.593262,180.000000,2.406738
35,4,acetylene,angle,1,177.357850,180.000000,2.642150
35,5,hcl,bond,0,1.267523,1.270000,0.002477
40,0,methane,bond,0,1.094578,1.090000,0.004578
40,0,methane,bond,1,1.106755,1.090000,0.016755
40,0,methane,bond,2,1.101663,1.090000,0.011663
40,0,methane,bond,3,1.093510,1.090000,0.003510
40,0,methane,angle,0,109.704018,109.500000,0.204018
40,0,methane,angle,1,109.257950,109.500000,0.242050
40,0,methane,angle,2,109.608403,109.500000,0.108403
40,0,methane,angle,3,108.217287,109.500000,1.282713
40,0,methane,angle,4,108.389446,109.500000,1.110554
40,0,methane,angle,5,111.633483,109.500000,2.133483
40,1,water,bond,0,0.979418,0.960000,0.019418
40,1,water,bond,1,0.983495,0.960000,0.023495
40,1,water,angle,0,104.868949,104.500000,0.368949
40,2,co2,bond,0,1.165621,1.160000,0.005621
40,2,co2,bond,1,1.152208,1.160000,0.007792
40,2,co2,angle,0,178.764596,180.000000,1.235404
40,3,ammonia,bond,0,1.024151,1.010000,0.014151
40,3,ammonia,bond,1,1.001302,1.010000,0.008698
40,3,ammonia,bond,2,0.978382,1.010000,0.031618
40,3,ammonia,angle,0,105.737884,107.000000,1.262116
40,3,ammonia,angle,1,107.216132,107.000000,0.216132
40,3,ammonia,angle,2,105.404865,107.000000,1.595135
40,4,acetylene,bond,0,1.054846,1.060000,0.005154
40,4,acetylene,bond,1,1.194219,1.200000,0.005781
40,4,acetylene,bond,2,1.071859,1.060000,0.011859
40,4,acetylene,angle,0,177.478712,180.000000,2.521288
40,4,acetylene,angle,1,177.205269,180.000000,2.794731
40,5,hcl,bond,0,1.266583,1.270000,0.003417
45,0,methane,bond,0,1.096063,1.090000,0.006063
45,0,methane,bond,1,1.108285,1.090000,0.018285
45,0,methane,bond,2,1.104460,1.090000,0.014460
45,0,methane,bond,3,1.092487,1.090000,0.002487
45,0,methane,angle,0,109.550920,109.500000,0.050920
45,0,methane,angle,1,109.152890,109.500000,0.347110
45,0,methane,angle,2,109.664027,109.500000,0.164027
45,0,methane,angle,3,108.035670,109.500000,1.464330
