step,atom_id,type,fx_lj,fy_lj,fz_lj
75,3,H,-0.000012,0.000014,-0.000014
75,4,H,-0.000019,-0.000021,0.000020
75,5,O,0.000000,-0.000082,-0.000001
75,6,H,0.000048,0.000044,-0.000000
75,7,H,-0.000053,0.000040,0.000001
75,8,O,-0.000064,-0.000003,0.000000
75,9,C,-0.000009,0.000000,0.000002
75,10,O,0.000078,-0.000000,-0.000002
75,11,N,0.000084,0.000065,0.000144
75,12,H,-0.035148,-0.001360,-0.034553
75,13,H,-0.000052,0.000088,-0.000043
75,14,H,-0.000089,-0.000155,-0.000080
75,15,H,0.035148,0.001364,0.034530
75,16,C,-0.000014,-0.000004,-0.000000
75,17,C,0.000030,0.000003,0.000002
75,18,H,-0.001328,-0.000041,-0.000105
75,19,H,0.001356,0.000040,0.000105
75,20,Cl,0.000012,-0.000000,-0.000000
80,0,C,0.000001,0.000006,-0.000008
80,1,H,0.000016,0.000016,0.000016
80,2,H,0.000014,-0.000013,-0.000014
80,3,H,-0.000012,0.000013,-0.000013
80,4,H,-0.000019,-0.000021,0.000020
80,5,O,0.000001,-0.000079,-0.000001
80,6,H,0.000046,0.000043,-0.000000
80,7,H,-0.000052,0.000039,0.000001
80,8,O,-0.000064,-0.000003,0.000000
80,9,C,-0.000009,0.000000,0.000002
80,10,O,0.000078,-0.000000,-0.000002
80,11,N,0.000091,0.000072,0.000148
80,12,H,-0.036388,-0.001492,-0.035948
80,13,H,-0.000052,0.000089,-0.000043
80,14,H,-0.000093,-0.000162,-0.000084
80,15,H,0.036385,0.001495,0.035926
80,16,C,-0.000013,-0.000004,-0.000000
80,17,C,0.000030,0.000003,0.000002
80,18,H,-0.001314,-0.000044,-0.000111
80,19,H,0.001342,0.000042,0.000111
80,20,Cl,0.000012,-0.000000,-0.000000
85,0,C,0.000002,0.000006,-0.000009
85,1,H,0.000016,0.000015,0.000015
85,2,H,0.000013,-0.000013,-0.000014
85,3,H,-0.000011,0.000013,-0.000013
85,4,H,-0.000020,-0.000021,0.000020
85,5,O,0.000001,-0.000076,-0.000001
85,6,H,0.000044,0.000041,-0.000000
85,7,H,-0.000050,0.000038,0.000001
85,8,O,-0.000064,-0.000003,0.000000
85,9,C,-0.000009,0.000000,0.000002
85,10,O,0.000078,-0.000000,-0.000002
85,11,N,0.000097,0.000079,0.000153
85,12,H,-0.037615,-0.001628,-0.037345
85,13,H,-0.000053,0.000089,-0.000044
85,14,H,-0.000097,-0.000170,-0.000089
85,15,H,0.037609,0.001632,0.037324
85,16,C,-0.000012,-0.000004,-0.000000
85,17,C,0.000031,0.000003,0.000002
85,18,H,-0.001299,-0.000046,-0.000117
85,19,H,0.001325,0.000045,0.000117
85,20,Cl,0.000012,-0.000000,-0.000000
90,0,C,0.000002,0.000007,-0.000010
90,1,H,0.000016,0.000015,0.000015
90,2,H,0.000013,-0.000013,-0.000014
90,3,H,-0.000011,0.000012,-0.000012
90,4,H,-0.000020,-0.000022,0.000021
90,5,O,0.000001,-0.000073,-0.000001
90,6,H,0.000042,0.000040,-0.000000
90,7,H,-0.000048,0.000037,0.000001
90,8,O,-0.000064,-0.000003,0.000000
90,9,C,-0.000008,0.000000,0.000002
90,10,O,0.000077,-0.000000,-0.000002
90,11,N,0.000104,0.000087,0.000158
90,12,H,-0.038821,-0.001771,-0.038736
90,13,H,-0.000053,0.000090,-0.000044
90,14,H,-0.000101,-0.000179,-0.000094
90,15,H,0.038813,0.001775,0.038716
90,16,C,-0.000011,-0.000004,-0.000000
90,17,C,0.000031,0.000003,0.000002
90,18,H,-0.001281,-0.000049,-0.000123
90,19,H,0.001307,0.000047,0.000122
90,20,Cl,0.000012,-0.000000,-0.000000
95,0,C,0.000002,0.000008,-0.000010
95,1,H,0.000015,0.000015,0.000015
95,2,H,0.000013,-0.000012,-0.000013
95,3,H,-0.000010,0.000012,-0.000012
95,4,H,-0.000020,-0.000022,0.000021
95,5,O,0.000002,-0.000071,-0.000001
95,6,H,0.000040,0.000038,-0.000000
95,7,H,-0.000047,0.000035,0.000001
95,8,O,-0.000064,-0.000003,0.000000
95,9,C,-0.000008,0.000000,0.000002
95,10,O,0.000077,-0.000000,-0.000002
95,11,N,0.000111,0.000095,0.000162
95,12,H,-0.040003,-0.001919,-0.040117
95,13,H,-0.000054,0.000091,-0.000045
95,14,H,-0.000105,-0.000187,-0.000099
95,15,H,0.039993,0.001923,0.040098
95,16,C,-0.000011,-0.000004,-0.000000
95,17,C,0.000031,0.000003,0.000002
95,18,H,-0.001261,-0.000051,-0.000128
95,19,H,0.001288,0.000049,0.000127
95,20,Cl,0.000013,-0.000000,-0.000000
100,0,C,0.000002,0.000008,-0.000011
100,1,H,0.000015,0.000014,0.000014
100,2,H,0.000013,-0.000012,-0.000013
100,3,H,-0.000010,0.000012,-0.000012
100,4,H,-0.000020,-0.000022,0.000021
100,5,O,0.000002,-0.000068,-0.000001
100,6,H,0.000038,0.000037,-0.000000
100,7,H,-0.000045,0.000034,0.000001
100,8,O,-0.000064,-0.000003,0.000000
100,9,C,-0.000008,-0.000000,0.000002
100,10,O,0.000077,-0.000000,-0.000002
100,11,N,0.000117,0.000103,0.000168
100,12,H,-0.041157,-0.002072,-0.041484
100,13,H,-0.000054,0.000092,-0.000045
100,14,H,-0.000110,-0.000196,-0.000104
100,15,H,0.041145,0.002076,0.041466
100,16,C,-0.000010,-0.000004,-0.000000
100,17,C,0.000031,0.000003,0.000002
100,18,H,-0.001240,-0.000053,-0.000133
100,19,H,0.001266,0.000052,0.000132
100,20,Cl,0.000013,-0.000000,-0.000000
105,0,C,0.000003,0.000009,-0.000011
105,1,H,0.000015,0.000014,0.000014
105,2,H,0.000012,-0.000012,-0.000013
105,3,H,-0.000010,0.000011,-0.000011
105,4,H,-0.000020,-0.000022,0.000021
105,5,O,0.000002,-0.000066,-0.000001
105,6,H,0.000036,0.000036,-0.000001
105,7,H,-0.000044,0.000033,0.000001
105,8,O,-0.000064,-0.000003,0.000000
105,9,C,-0.000007,-0.000000,0.000002
105,10,O,0.000076,-0.000000,-0.000002
105,11,N,0.000124,0.000112,0.000173
105,12,H,-0.042277,-0.002230,-0.042830
105,13,H,-0.000055,0.000092,-0.000046
105,14,H,-0.000115,-0.000206,-0.000110
105,15,H,0.042262,0.002234,0.042812
105,16,C,-0.000009,-0.000005,-0.000000
105,17,C,0.000031,0.000003,0.000002
105,18,H,-0.001218,-0.000055,-0.000137
105,19,H,0.001243,0.000053,0.000136
105,20,Cl,0.000013,0.000000,-0.000001
110,0,C,0.000003,0.000009,-0.000012
110,1,H,0.000014,0.000014,0.000014
110,2,H,0.000012,-0.000011,-0.000012
110,3,H,-0.000009,0.000011,-0.000011
110,4,H,-0.000020,-0.000022,0.000021
110,5,O,0.000002,-0.000063,-0.000001
110,6,H,0.000035,0.000034,-0.000001
110,7,H,-0.000042,0.000032,0.000001
110,8,O,-0.000063,-0.000003,0.000000
110,9,C,-0.000007,-0.000000,0.000002
110,10,O,0.000076,-0.000000,-0.000002
110,11,N,0.000131,0.000121,0.000179
110,12,H,-0.043355,-0.002392,-0.044148
110,13,H,-0.000055,0.000093,-0.000046
110,14,H,-0.000119,-0.000215,-0.000116
110,15,H,0.043338,0.002397,0.044131
110,16,C,-0.000008,-0.000005,-0.000000
110,17,C,0.000031,0.000004,0.000002
110,18,H,-0.001193,-0.000057,-0.000141
110,19,H,0.001218,0.000055,0.000140
110,20,Cl,0.000013,0.000000,-0.000001
115,0,C,0.000003,0.000010,-0.000012
115,1,H,0.000014,0.000013,0.000013
115,2,H,0.000012,-0.000011,-0.000012
115,3,H,-0.000009,0.000010,-0.000010
115,4,H,-0.000020,-0.000023,0.000021
115,5,O,0.000003,-0.000061,-0.000001
115,6,H,0.000033,0.000033,-0.000001
115,7,H,-0.000041,0.000031,0.000001
