step,atom_id,type,x,y,z,vx,vy,vz,fx,fy,fz,mass
20,11,N,10.008540,12.990782,10.009507,-104.516423,-473.270998,386.769502,0.000000,0.000000,0.000000,14.000000
20,12,H,10.940901,13.004747,9.616531,3243.858729,810.698632,443.151988,-0.000000,-0.000000,-0.000000,1.000000
20,13,H,9.539494,13.796325,9.632217,167.557739,-2011.922495,-184.041054,-0.000000,0.000000,-0.000000,1.000000
20,14,H,9.536431,12.202998,9.628807,3621.269428,2702.032157,-272.730434,-0.000000,-0.000000,-0.000000,1.000000
20,15,H,11.342175,13.010666,9.989566,732.676698,1595.131061,-142.974113,0.000000,0.000000,0.000000,1.000000
20,16,C,12.399917,12.991206,9.992189,-29.412869,-190.435895,420.309457,-0.000000,-0.000000,-0.000000,12.000000
20,17,C,13.593433,13.010728,10.007264,67.075326,318.576172,350.673055,0.000000,0.000000,0.000000,12.000000
20,18,H,14.662072,12.998546,9.992743,840.995090,-1911.037770,-980.527761,-0.000000,-0.000000,-0.000000,1.000000
20,19,H,15.356241,13.001281,10.005114,323.355196,-334.978029,2673.817763,0.000000,0.000000,0.000000,1.000000
20,20,Cl,16.626433,12.997252,10.001793,-543.695565,-98.461413,-158.508245,0.000000,-0.000000,-0.000000,35.500000
25,0,C,10.006217,10.007287,9.994954,-564.803243,-78.141822,194.792314,0.000000,-0.000000,-0.000000,12.000000
25,1,H,10.633097,10.631332,10.632471,2049.802472,265.688377,-395.464970,0.000000,0.000000,0.000000,1.000000
25,2,H,10.634367,9.366792,9.354334,829.614126,1126.413057,-2071.870640,0.000000,-0.000000,-0.000000,1.000000
25,3,H,9.385828,10.642563,9.356712,1394.343121,3458.631306,-2714.553476,-0.000000,0.000000,-0.000000,1.000000
25,4,H,9.380800,9.358830,10.620494,1743.547492,-575.165518,-21.959361,-0.000000,-0.000000,0.000000,1.000000
25,5,O,13.003818,9.995268,9.995908,102.942398,-17.953048,-247.835908,-0.000000,-0.000000,-0.000000,16.000000
25,6,H,13.772119,10.589271,10.002320,2037.862695,1898.042595,-1104.331241,0.000000,0.000000,0.000000,1.000000
25,7,H,12.228038,10.588804,10.008420,-1821.588442,1014.054988,177.503838,-0.000000,0.000000,0.000000,1.000000
25,8,O,14.836555,9.995742,10.009151,57.097462,384.119323,198.747365,-0.000000,-0.000000,0.000000,16.000000
25,9,C,16.001935,10.004579,10.008205,131.520983,-252.032825,293.924709,-0.000000,0.000000,0.000000,12.000000
25,10,O,17.152832,10.001733,9.987150,478.598228,-92.199997,-593.143524,0.000000,-0.000000,-0.000000,16.000000
25,11,N,10.008436,12.990308,10.009895,-103.517729,-473.761568,389.586975,0.000000,0.000000,0.000000,14.000000
25,12,H,10.944133,13.005558,9.616961,3224.713541,810.335320,420.904934,-0.000000,-0.000000,-0.000000,1.000000
25,13,H,9.539653,13.794328,9.632026,153.005073,-1985.643770,-194.433518,-0.000000,0.000000,-0.000000,1.000000
25,14,H,9.540044,12.205687,9.628526,3608.304850,2680.621562,-286.353913,-0.000000,-0.000000,-0.000000,1.000000
25,15,H,11.342921,13.012262,9.989436,752.938956,1594.803598,-118.868128,0.000000,0.000000,0.000000,1.000000
25,16,C,12.399887,12.991016,9.992610,-31.659628,-189.892607,419.493778,-0.000000,-0.000000,-0.000000,12.000000
25,17,C,13.593501,13.011047,10.007615,68.551754,319.331455,349.863298,0.000000,0.000000,0.000000,12.000000
25,18,H,14.662895,12.996635,9.991763,809.687973,-1909.182207,-980.654531,-0.000000,-0.000000,-0.000000,1.000000
25,19,H,15.356580,13.000947,10.007789,348.941530,-336.940818,2674.509077,0.000000,0.000000,0.000000,1.000000
25,20,Cl,16.625890,12.997154,10.001635,-542.968031,-98.645576,-158.957149,0.000000,-0.000000,-0.000000,35.500000
30,0,C,10.005652,10.007209,9.995148,-566.113169,-78.975455,193.243772,0.000000,-0.000000,-0.000000,12.000000
30,1,H,10.635156,10.631608,10.632086,2065.831715,282.077616,-379.871641,0.000000,0.000000,0.000000,1.000000
30,2,H,10.635205,9.367908,9.352251,843.980780,1109.383090,-2087.905467,0.000000,-0.000000,-0.000000,1.000000
30,3,H,9.387212,10.646030,9.353987,1377.109374,3474.294512,-2733.106592,-0.000000,0.000000,-0.000000,1.000000
30,4,H,9.382534,9.358243,10.620481,1727.128180,-596.325373,-8.846839,-0.000000,-0.000000,0.000000,1.000000
30,5,O,13.003920,9.995249,9.995660,102.572810,-20.300048,-247.128286,-0.000000,-0.000000,-0.000000,16.000000
30,6,H,13.774171,10.591180,10.001215,2062.476493,1916.494738,-1104.763095,0.000000,0.000000,0.000000,1.000000
30,7,H,12.226203,10.589828,10.008598,-1842.423110,1027.981713,175.249282,-0.000000,0.000000,0.000000,1.000000
30,8,O,14.836611,9.996126,10.009350,55.487464,384.062880,198.858436,-0.000000,-0.000000,0.000000,16.000000
30,9,C,16.002065,10.004327,10.008499,129.373028,-249.713684,293.510555,-0.000000,0.000000,0.000000,12.000000
30,10,O,17.153312,10.001641,9.986556,481.540060,-92.020878,-593.706542,0.000000,-0.000000,-0.000000,16.000000
30,11,N,10.008333,12.989834,10.010285,-102.477038,-472.750581,390.561532,0.000000,0.000000,0.000000,14.000000
30,12,H,10.947346,13.006368,9.617372,3205.044210,811.327602,403.024734,-0.000000,-0.000000,-0.000000,1.000000
30,13,H,9.539797,13.792357,9.631823,138.015276,-1961.632430,-208.073931,-0.000000,0.000000,-0.000000,1.000000
30,14,H,9.543643,12.208356,9.628231,3592.886430,2660.944747,-300.138289,-0.000000,-0.000000,-0.000000,1.000000
30,15,H,11.343686,13.013857,9.989330,772.973203,1596.473659,-97.602635,0.000000,0.000000,0.000000,1.000000
30,16,C,12.399854,12.990825,9.993030,-33.934659,-190.712501,419.856123,-0.000000,-0.000000,-0.000000,12.000000
30,17,C,13.593570,13.011366,10.007964,69.538688,318.761557,349.322587,0.000000,0.000000,0.000000,12.000000
30,18,H,14.663687,12.994727,9.990781,781.315314,-1906.700514,-985.316620,-0.000000,-0.000000,-0.000000,1.000000
30,19,H,15.356946,13.000610,10.010465,379.044788,-335.248554,2676.317717,0.000000,0.000000,0.000000,1.000000
30,20,Cl,16.625348,12.997055,10.001475,-542.016237,-98.474762,-159.535257,0.000000,-0.000000,-0.000000,35.500000
35,0,C,10.005086,10.007130,9.995340,-566.412689,-79.131831,191.019036,0.000000,-0.000000,-0.000000,12.000000
35,1,H,10.637233,10.631902,10.631717,2083.314882,304.210368,-362.323943,0.000000,0.000000,0.000000,1.000000
35,2,H,10.636059,9.369007,9.350154,860.104930,1090.435934,-2104.574674,0.000000,-0.000000,-0.000000,1.000000
35,3,H,9.388582,10.649517,9.351244,1362.970667,3492.956897,-2749.692638,-0.000000,0.000000,-0.000000,1.000000
35,4,H,9.384251,9.357636,10.620482,1709.042123,-613.439595,7.105079,-0.000000,-0.000000,0.000000,1.000000
35,5,O,13.004023,9.995227,9.995413,102.770851,-23.039179,-246.551251,-0.000000,-0.000000,-0.000000,16.000000
35,6,H,13.776247,10.593110,10.000109,2083.432031,1938.353275,-1109.256155,0.000000,0.000000,0.000000,1.000000
35,7,H,12.224345,10.590867,10.008774,-1867.572428,1044.662956,174.326831,-0.000000,0.000000,0.000000,1.000000
35,8,O,14.836666,9.996510,10.009548,53.598152,383.752519,198.171301,-0.000000,-0.000000,0.000000,16.000000
35,9,C,16.002192,10.004078,10.008792,126.798332,-249.148445,293.515721,-0.000000,0.000000,0.000000,12.000000
35,10,O,17.153795,10.001548,9.985962,483.655761,-93.444078,-593.652432,0.000000,-0.000000,-0.000000,16.000000
35,11,N,10.008231,12.989362,10.010677,-102.384029,-471.430904,392.013158,0.000000,0.000000,0.000000,14.000000
35,12,H,10.950538,13.007178,9.617763,3183.443387,811.629827,383.271591,-0.000000,-0.000000,-0.000000,1.000000
35,13,H,9.539927,13.790408,9.631609,127.092471,-1940.233326,-214.831362,-0.000000,0.000000,-0.000000,1.000000
35,14,H,9.547227,12.211003,9.627924,3577.840945,2639.527312,-312.215761,-0.000000,-0.000000,-0.000000,1.000000
35,15,H,11.344473,13.015454,9.989242,795.098574,1597.051033,-79.546399,0.000000,0.000000,0.000000,1.000000
35,16,C,12.399819,12.990634,9.993449,-35.408142,-191.635398,419.851265,-0.000000,-0.000000,-0.000000,12.000000
35,17,C,13.593641,13.011685,10.008314,72.132464,319.086336,349.513685,0.000000,0.000000,0.000000,12.000000
35,18,H,14.664450,12.992820,9.989797,750.062913,-1904.128667,-981.752249,-0.000000,-0.000000,-0.000000,1.000000
35,19,H,15.357343,13.000277,10.013143,409.616672,-332.780934,2676.876827,0.000000,0.000000,0.000000,1.000000
35,20,Cl,16.624806,12.996957,10.001316,-541.231997,-98.881581,-158.939080,0.000000,-0.000000,-0.000000,35.500000
40,0,C,10.004520,10.007050,9.995530,-566.588494,-80.270893,188.954712,0.000000,-0.000000,-0.000000,12.000000
40,1,H,10.639326,10.632217,10.631366,2097.995976,322.002706,-345.072667,0.000000,0.000000,0.000000,1.000000
40,2,H,10.636930,9.370089,9.348039,878.417148,1075.693554,-2121.437811,0.000000,-0.000000,-0.000000,1.000000
40,3,H,9.389936,10.653021,9.348483,1347.947230,3509.075030,-2768.003364,-0.000000,0.000000,-0.000000,1.000000
40,4,H,9.385949,9.357011,10.620498,1690.988692,-634.308037,24.674402,-0.000000,-0.000000,0.000000,1.000000
40,5,O,13.004126,9.995203,9.995166,102.487970,-25.043836,-246.350049,-0.000000,-0.000000,-0.000000,16.000000
40,6,H,13.778346,10.595059,9.999000,2111.759987,1955.370901,-1112.709388,0.000000,0.000000,0.000000,1.000000
40,7,H,12.222464,10.591924,10.008950,-1891.361605,1066.475810,178.492717,-0.000000,0.000000,0.000000,1.000000
40,8,O,14.836718,9.996894,10.009747,51.133396,383.645778,198.601415,-0.000000,-0.000000,0.000000,16.000000
40,9,C,16.002318,10.003828,10.009086,124.330634,-249.953303,294.279385,-0.000000,0.000000,0.000000,12.000000
40,10,O,17.154279,10.001455,9.985369,484.973146,-92.988427,-594.066964,0.000000,-0.000000,-0.000000,16.000000
40,11,N,10.008129,12.988890,10.011070,-101.346575,-471.073616,393.912015,0.000000,0.000000,0.000000,14.000000
40,12,H,10.953709,13.007989,9.618135,3160.481863,810.496297,365.651326,-0.000000,-0.000000,-0.000000,1.000000
40,13,H,9.540047,13.788483,9.631391,114.226578,-1916.341448,-219.123793,-0.000000,0.000000,-0.000000,1.000000
40,14,H,9.550799,12.213626,9.627605,3568.608035,2609.492758,-323.455946,-0.000000,-0.000000,-0.000000,1.000000
