step,molecule_id,molecule_type,measurement_type,measurement_id,value,equilibrium,deviation
25,3,ammonia,bond,2,1.017489,1.010000,0.007489
25,3,ammonia,angle,0,108.034875,107.000000,1.034875
25,3,ammonia,angle,1,106.818033,107.000000,0.181967
25,3,ammonia,angle,2,106.771899,107.000000,0.228101
25,4,acetylene,bond,0,1.060727,1.060000,0.000727
25,4,acetylene,bond,1,1.196987,1.200000,0.003013
25,4,acetylene,bond,2,1.075160,1.060000,0.015160
25,4,acetylene,angle,0,179.062433,180.000000,0.937567
25,4,acetylene,angle,1,179.012117,180.000000,0.987883
25,5,hcl,bond,0,1.242991,1.270000,0.027009
30,0,methane,bond,0,1.075139,1.090000,0.014861
30,0,methane,bond,1,1.109554,1.090000,0.019554
30,0,methane,bond,2,1.094400,1.090000,0.004400
30,0,methane,bond,3,1.076566,1.090000,0.013434
30,0,methane,angle,0,108.402183,109.500000,1.097817
30,0,methane,angle,1,110.378646,109.500000,0.878646
30,0,methane,angle,2,110.460580,109.500000,0.960580
30,0,methane,angle,3,109.604568,109.500000,0.104568
30,0,methane,angle,4,109.601385,109.500000,0.101385
30,0,methane,angle,5,108.384455,109.500000,1.115545
30,1,water,bond,0,0.947043,0.960000,0.012957
30,1,water,bond,1,0.978944,0.960000,0.018944
30,1,water,angle,0,104.799182,104.500000,0.299182
30,2,co2,bond,0,1.161931,1.160000,0.001931
30,2,co2,bond,1,1.153508,1.160000,0.006492
30,2,co2,angle,0,179.547120,180.000000,0.452880
30,3,ammonia,bond,0,0.993846,1.010000,0.016154
30,3,ammonia,bond,1,1.017899,1.010000,0.007899
30,3,ammonia,bond,2,1.017271,1.010000,0.007271
30,3,ammonia,angle,0,108.112790,107.000000,1.112790
30,3,ammonia,angle,1,106.820882,107.000000,0.179118
30,3,ammonia,angle,2,106.720318,107.000000,0.279682
30,4,acetylene,bond,0,1.060632,1.060000,0.000632
30,4,acetylene,bond,1,1.196349,1.200000,0.003651
30,4,acetylene,bond,2,1.075332,1.060000,0.015332
30,4,acetylene,angle,0,179.051216,180.000000,0.948784
30,4,acetylene,angle,1,178.982498,180.000000,1.017502
30,5,hcl,bond,0,1.240624,1.270000,0.029376
35,0,methane,bond,0,1.073228,1.090000,0.016772
35,0,methane,bond,1,1.111134,1.090000,0.021134
35,0,methane,bond,2,1.094281,1.090000,0.004281
35,0,methane,bond,3,1.077301,1.090000,0.012699
35,0,methane,angle,0,108.160822,109.500000,1.339178
35,0,methane,angle,1,110.532431,109.500000,1.032431
35,0,methane,angle,2,110.489371,109.500000,0.989371
35,0,methane,angle,3,109.810543,109.500000,0.310543
35,0,methane,angle,4,109.632734,109.500000,0.132734
35,0,methane,angle,5,108.210709,109.500000,1.289291
35,1,water,bond,0,0.945678,0.960000,0.014322
35,1,water,bond,1,0.979505,0.960000,0.019505
35,1,water,angle,0,104.863442,104.500000,0.363442
35,2,co2,bond,0,1.161977,1.160000,0.001977
35,2,co2,bond,1,1.153820,1.160000,0.006180
35,2,co2,angle,0,179.523367,180.000000,0.476633
35,3,ammonia,bond,0,0.993699,1.010000,0.016301
35,3,ammonia,bond,1,1.021075,1.010000,0.011075
35,3,ammonia,bond,2,1.017116,1.010000,0.007116
35,3,ammonia,angle,0,108.188887,107.000000,1.188887
35,3,ammonia,angle,1,106.821945,107.000000,0.178055
35,3,ammonia,angle,2,106.668282,107.000000,0.331718
35,4,acetylene,bond,0,1.060486,1.060000,0.000486
35,4,acetylene,bond,1,1.195721,1.200000,0.004279
35,4,acetylene,bond,2,1.075439,1.060000,0.015439
35,4,acetylene,angle,0,179.041712,180.000000,0.958288
35,4,acetylene,angle,1,178.951697,180.000000,1.048303
35,5,hcl,bond,0,1.238198,1.270000,0.031802
40,0,methane,bond,0,1.071383,1.090000,0.018617
40,0,methane,bond,1,1.112781,1.090000,0.022781
40,0,methane,bond,2,1.094245,1.090000,0.004245
40,0,methane,bond,3,1.078101,1.090000,0.011899
40,0,methane,angle,0,107.919550,109.500000,1.580450
40,0,methane,angle,1,110.686582,109.500000,1.186582
40,0,methane,angle,2,110.518393,109.500000,1.018393
40,0,methane,angle,3,110.016664,109.500000,0.516664
40,0,methane,angle,4,109.663758,109.500000,0.163758
40,0,methane,angle,5,108.036767,109.500000,1.463233
40,1,water,bond,0,0.944383,0.960000,0.015617
40,1,water,bond,1,0.980128,0.960000,0.020128
40,1,water,angle,0,104.926737,104.500000,0.426737
40,2,co2,bond,0,1.162021,1.160000,0.002021
40,2,co2,bond,1,1.154142,1.160000,0.005858
40,2,co2,angle,0,179.499088,180.000000,0.500912
40,3,ammonia,bond,0,0.993532,1.010000,0.016468
40,3,ammonia,bond,1,1.024310,1.010000,0.014310
40,3,ammonia,bond,2,1.017027,1.010000,0.007027
40,3,ammonia,angle,0,108.262971,107.000000,1.262971
40,3,ammonia,angle,1,106.820988,107.000000,0.179012
40,3,ammonia,angle,2,106.615660,107.000000,0.384340
40,4,acetylene,bond,0,1.060292,1.060000,0.000292
40,4,acetylene,bond,1,1.195102,1.200000,0.004898
40,4,acetylene,bond,2,1.075482,1.060000,0.015482
40,4,acetylene,angle,0,179.033938,180.000000,0.966062
40,4,acetylene,angle,1,178.919825,180.000000,1.080175
40,5,hcl,bond,0,1.235715,1.270000,0.034285
