step,atom_id,type,fx_lj,fy_lj,fz_lj
70,5,O,-0.000057,-0.000143,0.000006
70,6,H,0.000118,0.000096,-0.000005
70,7,H,-0.000065,0.000049,-0.000001
70,8,O,-0.000068,-0.000002,0.000001
70,9,C,-0.000005,0.000001,0.000001
70,10,O,0.000077,-0.000001,-0.000001
70,11,N,-0.000041,0.000021,0.000095
70,12,H,-0.016125,-0.000401,-0.015951
70,13,H,-0.000027,0.000047,-0.000021
70,14,H,-0.000040,-0.000065,-0.000030
70,15,H,0.016184,0.000397,0.015906
70,16,C,-0.000023,-0.000000,0.000001
70,17,C,0.000032,0.000001,-0.000001
70,18,H,-0.000451,-0.000014,-0.000018
70,19,H,0.000473,0.000014,0.000018
70,20,Cl,0.000018,-0.000000,-0.000000
75,0,C,-0.000002,-0.000012,-0.000017
75,1,H,0.000029,0.000029,0.000026
75,2,H,0.000013,-0.000013,-0.000012
75,3,H,-0.000020,0.000016,-0.000018
75,4,H,-0.000020,-0.000020,0.000021
75,5,O,-0.000059,-0.000143,0.000007
75,6,H,0.000119,0.000097,-0.000006
75,7,H,-0.000064,0.000048,-0.000001
75,8,O,-0.000068,-0.000002,0.000001
75,9,C,-0.000005,0.000001,0.000001
75,10,O,0.000077,-0.000001,-0.000001
75,11,N,-0.000042,0.000023,0.000094
75,12,H,-0.015338,-0.000388,-0.015274
75,13,H,-0.000026,0.000045,-0.000020
75,14,H,-0.000040,-0.000064,-0.000030
75,15,H,0.015397,0.000384,0.015229
75,16,C,-0.000023,-0.000000,0.000001
75,17,C,0.000033,0.000001,-0.000001
75,18,H,-0.000416,-0.000014,-0.000018
75,19,H,0.000438,0.000013,0.000018
75,20,Cl,0.000019,-0.000000,-0.000000
80,0,C,-0.000003,-0.000013,-0.000018
80,1,H,0.000029,0.000029,0.000026
80,2,H,0.000013,-0.000012,-0.000012
80,3,H,-0.000019,0.000016,-0.000018
80,4,H,-0.000020,-0.000020,0.000021
