step,atom_id,type,x,y,z
140,3,H,9.32301,10.646,9.34914
140,4,H,9.37289,9.38836,10.6387
140,5,O,15.0113,10.0006,9.99077
140,6,H,15.8003,10.6245,9.96021
140,7,H,14.1881,10.5785,9.97324
145,0,C,10.0122,10.0118,10.0068
145,1,H,10.6596,10.6136,10.6804
145,2,H,10.6572,9.34219,9.39947
145,3,H,9.32089,10.6467,9.34813
145,4,H,9.37224,9.38814,10.6395
145,5,O,15.0117,10.0002,9.99043
145,6,H,15.8027,10.6263,9.95853
145,7,H,14.1855,10.5789,9.97256
150,0,C,10.0129,10.0123,10.0067
150,1,H,10.6611,10.6135,10.6826
150,2,H,10.659,9.34064,9.39981
150,3,H,9.31873,10.6476,9.34708
150,4,H,9.37156,9.38788,10.6403
150,5,O,15.0121,9.99984,9.9901
150,6,H,15.8052,10.6282,9.95685
150,7,H,14.1829,10.5794,9.97189
155,0,C,10.0136,10.0129,10.0067
155,1,H,10.6627,10.6133,10.6848
155,2,H,10.6608,9.33906,9.40011
155,3,H,9.31654,10.6484,9.34599
155,4,H,9.37084,9.38759,10.6412
155,5,O,15.0125,9.99946,9.98977
155,6,H,15.8077,10.6301,9.95516
155,7,H,14.1802,10.5799,9.97121
160,0,C,10.0142,10.0134,10.0066
160,1,H,10.6643,10.6132,10.6871
160,2,H,10.6627,9.33744,9.40038
160,3,H,9.31431,10.6493,9.34487
160,4,H,9.37008,9.38726,10.6421
160,5,O,15.0129,9.99907,9.98944
160,6,H,15.8102,10.632,9.95347
160,7,H,14.1775,10.5804,9.97053
165,0,C,10.0149,10.0139,10.0065
165,1,H,10.666,10.6131,10.6894
165,2,H,10.6645,9.33578,9.40062
165,3,H,9.31205,10.6502,9.34371
165,4,H,9.36929,9.38689,10.643
165,5,O,15.0133,9.99867,9.98911
165,6,H,15.8128,10.634,9.95178
165,7,H,14.1748,10.581,9.96985
170,0,C,10.0155,10.0145,10.0064
170,1,H,10.6676,10.6131,10.6917
170,2,H,10.6665,9.33409,9.40082
170,3,H,9.30974,10.6512,9.34251
170,4,H,9.36847,9.38649,10.644
170,5,O,15.0137,9.99827,9.98878
170,6,H,15.8154,10.636,9.95008
170,7,H,14.172,10.5816,9.96917
175,0,C,10.0162,10.015,10.0063
175,1,H,10.6694,10.6131,10.694
175,2,H,10.6684,9.33236,9.40099
175,3,H,9.3074,10.6521,9.34128
175,4,H,9.36761,9.38605,10.645
175,5,O,15.0141,9.99787,9.98845
175,6,H,15.8181,10.6381,9.94838
175,7,H,14.1691,10.5823,9.96848
180,0,C,10.0168,10.0156,10.0062
180,1,H,10.6711,10.6131,10.6965
180,2,H,10.6704,9.33059,9.40113
